name,category,subcategory,price,compareAtPrice,description,sizes,image1,image2,featured,isNew,trending
"Silk Slip Dress",women,Dresses,189,,"Cut on the bias from washed silk, this slip falls with a fluid drape. Adjustable straps and a midi hem — day to evening without a second thought.",,silk-slip-dress-1.png,silk-slip-dress-2.png,yes,no,yes
"Oversized Wool Coat",women,Outerwear,349,429,"A generously cut overcoat in double-faced wool with dropped shoulders. Worn open or closed — the quiet anchor of a winter wardrobe.",,wool-coat-1.png,wool-coat-2.png,yes,no,yes
"Cashmere Crewneck",women,Knitwear,148,,"Spun from a soft cashmere blend with a relaxed crew neckline. Slightly cropped body, ribbed trims, endlessly layerable.",,cashmere-sweater-1.png,cashmere-sweater-2.png,no,yes,no
"Wide-Leg Trousers",women,Trousers,128,,"High-waisted with a clean pressed crease and a full, fluid leg. Tailoring that moves the way you do.",,wide-leg-trousers-1.png,wide-leg-trousers-2.png,no,no,yes
"Unstructured Linen Blazer",women,Blazers,168,,"An easy, unlined blazer in washed linen with soft shoulders and a relaxed body — throw it over anything.",,denim-blazer-1.png,denim-blazer-2.png,no,yes,no
"Classic Oxford Shirt",men,Shirts,89,,"A crisp button-down in breathable oxford cotton. Rolled sleeves or buttoned cuffs — it holds its shape either way.",,oxford-shirt-1.png,oxford-shirt-2.png,no,no,yes
"Tailored Wool Overcoat",men,Outerwear,329,399,"Sharp shoulders, clean lines, double-faced wool. The coat that makes everything underneath look considered.",,mens-overcoat-1.png,mens-overcoat-2.png,yes,no,yes
"Fisherman Knit Sweater",men,Knitwear,138,,"A heavyweight ribbed knit with a chunky cable texture. Warm without bulk, and better with every wear.",,fisherman-knit-1.png,fisherman-knit-2.png,no,yes,no
"Essential Heavyweight Tee",men,T-Shirts,45,,"Dense combed cotton with a structured drape and a collar that keeps its shape. The white tee, done properly.",,essential-tee-1.png,essential-tee-2.png,yes,no,no
"Pleated Wide-Leg Trousers",men,Trousers,118,,"Double-pleated with a relaxed, full leg in a soft stone twill. Dress them up, dress them down — they don't mind.",,pleated-trousers-1.png,pleated-trousers-2.png,no,yes,yes
